2017-12-06 18:00:55 INFO  TC001_LoginVerify:27 - =======Etarting verifying credentials test=========
2017-12-06 18:00:56 INFO  HomePage:149 - Clicked on sign in and object is :-[[ChromeDriver: chrome on XP (7bd08d093b5d1ef4fa3297eab3639122)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-06 18:00:56 INFO  HomePage:151 - Entered email address:-admin123456@gmail.com and object is :-[[ChromeDriver: chrome on XP (7bd08d093b5d1ef4fa3297eab3639122)] -> xpath: .//*[@id='email']]
2017-12-06 18:00:56 INFO  HomePage:153 - Entered password:-admin1234io and object is:-[[ChromeDriver: chrome on XP (7bd08d093b5d1ef4fa3297eab3639122)] -> xpath: .//*[@id='passwd']]
2017-12-06 18:00:57 INFO  HomePage:155 - Elicked on submit button and object is:-[[ChromeDriver: chrome on XP (7bd08d093b5d1ef4fa3297eab3639122)] -> xpath: .//*[@id='SubmitLogin']]
2017-12-06 18:00:57 INFO  TC001_LoginVerify:31 - ==========Finished verifying credential test============
2017-12-06 18:05:09 INFO  HomePage:166 - Click in sign button :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-06 18:05:09 INFO  HomePage:168 - Select email id and object is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: .//*[@id='email_create']]
2017-12-06 18:05:15 INFO  HomePage:171 - Click in registration button and object is :-Proxy element for: DefaultElementLocator 'By.xpath: .//*[@id='SubmitCreate']/span'
2017-12-06 18:05:15 INFO  HomePage:184 - Click in mr RadioButton button :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: .//*[@id='id_gender1']]
2017-12-06 18:05:15 INFO  HomePage:186 - Select first name is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='customer_firstname']]
2017-12-06 18:05:15 INFO  HomePage:188 - Select last name is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='customer_lastname']]
2017-12-06 18:05:15 INFO  HomePage:190 - Select  password is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='passwd']]
2017-12-06 18:05:15 INFO  HomePage:192 - Selected  day is :-10
2017-12-06 18:05:15 INFO  HomePage:194 - Select  month is :-January
2017-12-06 18:05:18 INFO  HomePage:196 - Select  year is :-2017
2017-12-06 18:05:18 INFO  HomePage:198 - Select first name for address is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='firstname']]
2017-12-06 18:05:18 INFO  HomePage:200 - Select last name for address is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-06 18:05:18 INFO  HomePage:202 - Select address in sign button :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='address1']]
2017-12-06 18:05:18 INFO  HomePage:204 - Select city name is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='city']]
2017-12-06 18:05:19 INFO  HomePage:206 - Select state name is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='id_state']]
2017-12-06 18:05:19 INFO  HomePage:208 - Select zip code is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='postcode']]
2017-12-06 18:05:19 INFO  HomePage:210 - Select country name is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='id_country']]
2017-12-06 18:05:20 INFO  HomePage:212 - Select mobile number is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='phone_mobile']]
2017-12-06 18:05:20 INFO  HomePage:214 - select reference is :-[[ChromeDriver: chrome on XP (5d59108238634e689a633673259df513)] -> xpath: //*[@id='alias']]
2017-12-06 18:05:36 INFO  HomePage:216 - Click in final registration button :-Proxy element for: DefaultElementLocator 'By.xpath: .//*[@id='submitAccount']'
2017-12-06 18:31:55 INFO  TC001_LoginVerify:27 - =======Etarting verifying credentials test=========
2017-12-06 18:31:56 INFO  HomePage:149 - Clicked on sign in and object is :-[[ChromeDriver: chrome on XP (f3a439c9308910810dfe5a65bebfe52a)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-06 18:31:56 INFO  HomePage:151 - Entered email address:-admin123456@gmail.com and object is :-[[ChromeDriver: chrome on XP (f3a439c9308910810dfe5a65bebfe52a)] -> xpath: .//*[@id='email']]
2017-12-06 18:31:56 INFO  HomePage:153 - Entered password:-admin1234io and object is:-[[ChromeDriver: chrome on XP (f3a439c9308910810dfe5a65bebfe52a)] -> xpath: .//*[@id='passwd']]
2017-12-06 18:31:57 INFO  HomePage:155 - Elicked on submit button and object is:-[[ChromeDriver: chrome on XP (f3a439c9308910810dfe5a65bebfe52a)] -> xpath: .//*[@id='SubmitLogin']]
2017-12-06 18:31:57 INFO  TC001_LoginVerify:31 - ==========Finished verifying credential test============
2017-12-06 19:16:57 INFO  TC001_LoginVerify:26 - =======Etarting verifying credentials test=========
2017-12-06 19:16:58 INFO  HomePage:149 - Clicked on sign in and object is :-[[ChromeDriver: chrome on XP (4ecadff9a85fa5d0fbe52016e7c68dd5)] -> xpath: //*[@id='header']/div[2]/div/div/nav/div[1]/a]
2017-12-06 19:16:58 INFO  HomePage:151 - Entered email address:-admin123456@gmail.com and object is :-[[ChromeDriver: chrome on XP (4ecadff9a85fa5d0fbe52016e7c68dd5)] -> xpath: .//*[@id='email']]
